,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,49,0,8,1,3,2,2,2,5130,1,0,23,4,1,10,3,3,10,7,1,7
3,33,0,3,4,4,3,1,3,2909,1,1,11,3,0,8,3,3,8,7,3,0
4,27,0,2,1,1,3,1,2,3468,9,0,12,3,1,6,3,3,2,2,2,2
5,32,0,2,2,4,3,1,4,3068,0,0,13,3,0,8,2,2,7,7,3,6
6,59,0,3,3,3,4,1,1,2670,4,1,20,4,3,12,3,2,1,0,0,0
7,30,0,24,1,4,3,1,3,2693,1,0,22,4,1,1,2,3,1,0,0,0
8,38,0,23,3,4,2,3,3,9526,0,0,21,4,0,10,2,3,9,7,1,8
9,36,0,27,3,3,3,2,3,5237,6,0,13,3,2,17,3,2,7,7,7,7
10,35,0,16,3,1,4,1,2,2426,0,0,13,3,1,6,5,3,5,4,0,3
11,29,0,15,2,4,2,2,3,4193,0,1,12,3,0,10,3,3,9,5,0,8
12,31,0,26,1,1,3,1,3,2911,1,0,17,3,1,5,1,2,5,2,4,3
13,34,0,19,2,2,3,1,4,2661,0,0,11,3,1,3,2,3,2,2,1,2
15,29,0,21,4,2,4,3,1,9980,1,0,11,3,1,10,1,3,10,9,8,8
16,32,0,5,2,1,4,1,2,3298,0,1,12,3,2,7,5,2,6,2,0,5
17,22,0,16,2,4,4,1,4,2935,1,1,13,3,2,1,2,2,1,0,0,0
18,53,0,2,4,1,2,4,4,15427,2,0,16,3,0,31,3,3,25,8,3,7
19,38,0,2,3,4,3,1,4,3944,5,1,11,3,0,6,3,3,3,2,1,2
20,24,0,11,2,1,4,2,3,4011,0,0,18,3,1,5,5,2,4,2,1,3
22,34,0,7,4,1,3,3,2,11994,0,0,11,3,0,13,4,3,12,6,2,11
23,21,0,15,2,3,3,1,4,1232,1,0,14,3,0,0,6,3,0,0,0,0
25,53,0,5,3,3,3,5,3,19094,4,0,11,3,1,26,3,2,14,13,4,8
27,42,0,8,4,3,3,2,2,6825,0,0,11,3,1,10,2,3,9,7,4,2
28,44,0,7,4,1,2,3,4,10248,3,0,14,3,1,24,4,3,22,6,5,17
29,46,0,2,4,2,3,5,1,18947,3,0,12,3,0,22,2,2,2,2,2,1
30,33,0,2,3,3,3,1,4,2496,4,0,11,3,0,7,3,3,1,1,0,0
31,44,0,10,4,4,3,2,4,6465,2,1,13,3,0,9,5,4,4,2,1,3
32,30,0,9,2,4,2,1,3,2206,1,0,13,3,0,10,5,3,10,0,1,8
35,43,0,2,2,4,4,1,3,2645,1,0,12,3,2,6,3,2,5,3,1,4
37,35,0,2,3,4,3,1,4,2014,1,0,13,3,0,2,3,3,2,2,2,2
38,36,0,5,4,2,2,1,1,3419,9,1,14,3,1,6,3,4,1,1,0,0
39,33,0,1,3,3,4,2,1,5376,2,0,19,3,2,10,3,3,5,3,1,3
40,35,0,4,2,3,3,1,4,1951,1,0,12,3,1,1,3,3,1,0,0,0
41,27,0,2,4,4,3,1,1,2341,1,0,13,3,1,1,6,3,1,0,0,0
43,27,0,8,3,4,3,3,3,8726,1,0,15,3,0,9,0,3,9,8,1,7
44,30,0,1,2,3,3,2,4,4011,1,0,23,4,0,12,2,3,12,8,3,7
46,34,0,23,4,2,3,2,3,4568,0,0,20,4,0,10,2,3,9,5,8,7
47,37,0,19,2,2,3,1,2,3022,4,0,21,4,0,8,1,3,1,0,0,0
48,46,0,5,4,1,3,2,4,5772,4,1,21,4,0,14,4,3,9,6,0,8
49,35,0,8,1,4,4,1,4,2269,1,0,19,3,0,1,2,3,1,0,0,1
52,44,0,1,5,2,3,2,1,5454,5,1,21,4,1,9,2,2,4,3,1,3
53,35,0,11,2,3,2,3,1,9884,2,1,13,3,1,10,3,3,4,0,2,3
54,26,0,23,3,3,2,2,4,4157,7,1,19,3,1,5,2,2,2,2,0,0
55,33,0,1,2,1,3,3,4,13458,1,1,12,3,0,15,1,3,15,14,8,12
56,35,0,18,5,2,3,3,1,9069,1,0,22,4,1,9,3,2,9,8,1,8
57,35,0,23,4,3,3,1,1,4014,3,1,15,3,1,4,3,3,2,2,2,2
58,31,0,7,4,4,3,2,4,5915,3,0,22,4,1,10,3,2,7,7,1,7
59,37,0,1,4,1,2,2,3,5993,1,0,18,3,1,7,2,4,7,5,0,7
60,32,0,1,3,1,3,2,4,6162,1,1,22,4,1,9,3,3,9,8,7,8
61,38,0,29,5,4,3,2,4,2406,1,0,11,3,0,10,2,3,10,3,9,9
62,50,0,7,2,2,2,5,3,18740,5,1,12,3,1,29,2,2,27,3,13,8
63,59,0,25,3,1,3,3,1,7637,7,0,11,3,0,28,3,2,21,16,7,9
64,36,0,8,3,3,3,3,3,10096,1,0,13,3,3,17,2,3,17,14,12,8
65,55,0,8,3,4,3,4,3,14756,2,1,14,3,3,21,2,3,5,0,0,2
66,36,0,11,3,2,2,2,2,6499,1,0,13,3,0,6,3,3,6,5,0,3
67,45,0,7,3,2,3,3,1,9724,2,0,17,3,1,25,2,3,1,0,0,0
68,35,0,1,3,2,3,1,1,2194,4,0,13,3,1,5,2,2,3,2,1,2
70,59,0,1,1,1,2,2,3,5473,7,0,11,3,0,20,2,2,4,3,1,3
71,29,0,2,3,3,3,1,2,2703,0,0,23,4,1,6,3,3,5,4,0,4
72,31,0,1,4,3,3,1,2,2501,1,0,17,3,0,1,4,3,1,1,1,0
73,32,0,1,3,2,3,2,2,6220,1,0,17,3,2,10,3,3,10,4,0,9
74,36,0,6,3,2,4,1,4,3038,3,0,12,3,0,5,3,3,1,0,0,0
75,31,0,8,4,3,3,2,4,4424,1,0,23,4,0,11,2,3,11,7,1,8
76,35,0,1,4,3,2,2,1,4312,0,0,14,3,0,16,2,3,15,13,2,8
77,45,0,6,4,4,3,3,1,13245,4,1,14,3,0,17,3,4,0,0,0,0
78,37,0,7,4,1,3,3,3,13664,4,0,13,3,0,16,3,4,5,2,0,2
79,46,0,5,2,2,3,2,2,5021,8,1,22,4,1,16,2,3,4,2,0,2
80,30,0,1,1,4,2,2,4,5126,1,1,12,3,2,10,1,2,10,8,3,0
81,35,0,1,3,2,2,1,3,2859,1,0,18,3,0,6,3,3,6,4,0,4
82,55,0,1,2,1,3,3,4,10239,3,0,14,3,1,24,4,3,1,0,1,0
83,38,0,6,3,2,1,2,4,5329,7,1,12,3,3,17,3,3,13,11,1,9
84,34,0,1,2,1,3,2,2,4325,1,0,15,3,0,5,2,3,5,2,1,3
85,56,0,7,3,4,1,3,4,7260,4,0,11,3,0,37,3,2,6,4,0,2
86,23,0,2,1,3,3,1,1,2322,3,0,13,3,1,3,3,3,0,0,0,0
87,51,0,9,4,4,3,1,4,2075,3,0,23,4,2,10,4,3,4,2,0,3
88,30,0,2,3,3,2,2,4,4152,1,0,19,3,3,11,3,3,11,10,10,8
90,40,0,1,4,3,2,4,2,13503,1,0,22,4,1,22,3,2,22,3,11,11
91,51,0,21,4,3,3,2,4,5441,0,1,22,4,0,11,2,1,10,7,1,0
92,30,0,4,2,3,2,2,2,5209,1,1,12,3,3,11,4,2,11,8,2,7
93,46,0,1,3,3,2,3,1,10673,2,1,13,3,1,21,5,2,10,9,9,5
94,32,0,6,4,2,3,2,3,5010,1,0,16,3,0,12,0,3,11,8,5,7
95,54,0,2,4,1,3,3,3,13549,9,0,12,3,1,16,5,1,4,3,0,3
96,24,0,3,2,1,3,2,3,4999,0,0,21,4,1,4,2,2,3,2,0,2
97,28,0,4,3,2,3,2,3,4221,1,0,15,3,0,5,3,4,5,4,0,4
98,58,0,10,4,4,3,4,3,13872,0,0,13,3,0,38,1,2,37,10,1,8
99,44,0,23,3,2,3,2,2,2042,4,0,12,3,1,17,3,4,3,2,1,2
101,32,0,1,1,4,3,1,1,2956,1,0,13,3,0,1,2,3,1,0,0,0
103,34,0,6,4,1,3,2,3,4809,1,0,14,3,0,16,3,3,16,13,2,10
104,37,0,2,2,3,2,2,4,5163,5,0,14,3,1,17,2,4,1,0,0,0
105,59,0,2,4,3,2,5,4,18844,9,0,21,4,1,30,3,3,3,2,2,2
106,50,0,1,3,1,3,5,2,18172,3,1,19,3,0,28,1,2,8,3,0,7
